,sbj,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time,goal,RT,rt_max,value diff,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L)
0,0,0,4.261735,0,110,131,0.6034478694008415,0.3965521305991585,4261.735,-1,,6.440692531296836,8.0,20.0,3.0,-0.25
1,0,0,1.7342840000000002,1,110,131,0.669090192,0.330909808,,1,1734.284,6.440692531296836,8.0,20.0,3.0,-0.25
2,0,1,3.559258,1,47,50,0.4907721065605339,0.5092278934394661,3559.258,-1,,6.440692531296836,5.0,5.0,4.0,0.0
3,0,2,3.754464,1,50,44,0.4908931338839853,0.5091068661160147,3754.464,-1,,6.440692531296836,3.0,-5.0,4.0,0.0
4,0,2,3.174566,0,50,44,0.549371077,0.450628923,,1,3174.566,6.440692531296836,3.0,-5.0,4.0,0.0
5,0,3,2.431751,0,57,50,0.6391251777739192,0.3608748222260808,2431.751,-1,,6.440692531296836,3.0,-5.0,3.0,-0.25
6,0,3,2.8775790000000003,1,57,50,0.608408512,0.391591488,,1,2877.579,6.440692531296836,3.0,-5.0,3.0,-0.25
7,0,4,2.199342,0,42,50,0.7022321660287879,0.2977678339712121,2199.342,-1,,6.440692531296836,6.0,10.0,2.0,-0.5
8,0,4,1.8063099999999999,1,42,50,0.522848984,0.477151016,,1,1806.31,6.440692531296836,6.0,10.0,4.0,0.0
9,0,5,3.269922,0,108,110,0.6347563512354806,0.3652436487645194,3269.922,-1,,6.440692531296836,4.0,0.0,3.0,-0.25
10,0,5,3.6368159999999996,0,108,110,0.559774264,0.440225736,,1,3636.816,6.440692531296836,4.0,0.0,4.0,0.0
11,0,6,3.6502660000000002,1,78,80,0.682033597,0.317966403,,1,3650.266,6.440692531296836,4.0,0.0,3.0,-0.25
12,0,7,3.6421460000000003,1,110,92,0.6007828874099216,0.3992171125900784,3642.146,-1,,6.440692531296836,0.0,-20.0,3.0,-0.25
13,0,7,3.078223,0,110,92,0.565220915,0.434779085,,1,3078.223,6.440692531296836,0.0,-20.0,4.0,0.0
14,0,8,5.21348,1,50,48,0.4751950711734737,0.5248049288265263,5213.48,-1,,6.440692531296836,4.0,0.0,5.0,0.25
