,sbj,rt,ch,value_diff,gaze_diff
0,0,0.7804052574634555,0.0,-1.0,0.0
1,0,1.0564052574634557,0.0,5.0,-0.5
2,0,1.7214052574634164,1.0,0.0,0.0
3,0,1.616405257463428,1.0,1.0,0.25
4,0,0.8234052574634556,0.0,-4.0,0.0
5,0,2.8554052574632918,0.0,0.0,0.25
6,0,1.0204052574634557,0.0,-1.0,-1.0
7,0,1.379405257463454,1.0,3.0,0.0
8,0,1.314405257463456,1.0,2.0,0.25
9,0,1.4214052574634495,1.0,2.0,-1.0
10,0,2.379405257463344,0.0,4.0,-0.25
11,0,1.3784052574634542,1.0,4.0,-0.25
12,0,1.1074052574634559,0.0,-1.0,-0.5
13,0,2.042405257463381,0.0,0.0,0.0
14,0,1.6504052574634243,1.0,-1.0,0.0
15,0,1.5234052574634382,1.0,1.0,-0.5
16,0,1.2934052574634558,0.0,2.0,-0.25
17,0,2.1774052574633664,1.0,3.0,0.0
18,0,1.0564052574634557,0.0,-5.0,0.0
19,0,1.2604052574634559,0.0,-5.0,-0.25
20,0,2.7824052574633,0.0,2.0,0.0
21,0,1.1124052574634558,0.0,-1.0,-0.5
22,0,0.8104052574634555,0.0,0.0,-0.25
23,0,1.0024052574634557,1.0,5.0,-0.25
24,0,1.497405257463441,0.0,3.0,0.0
25,0,1.1604052574634558,1.0,5.0,-0.5
26,0,1.8414052574634032,1.0,-1.0,0.5
27,0,2.042405257463381,0.0,-1.0,-0.75
28,0,0.8304052574634555,0.0,-5.0,-0.5
29,0,0.7274052574634555,0.0,-4.0,-0.25
30,0,2.924405257463284,0.0,-3.0,-0.25
31,0,1.6854052574634204,1.0,0.0,0.25
32,0,1.470405257463444,1.0,-1.0,0.25
33,0,1.544405257463436,0.0,-3.0,-0.5
34,0,1.9444052574633919,0.0,-1.0,-0.25
35,0,0.7864052574634555,1.0,1.0,-0.5
36,0,1.1784052574634558,0.0,-5.0,-0.75
37,0,1.7104052574634176,1.0,3.0,-0.25
38,0,1.4484052574634465,0.0,-5.0,-0.25
39,0,1.7224052574634163,0.0,-5.0,0.0
40,0,1.191405257463456,0.0,-4.0,-0.25
41,0,1.1574052574634557,1.0,3.0,0.0
42,0,1.0124052574634557,1.0,3.0,0.0
