,sbj,rt,ch,value_diff,gaze_diff
0,0,1.3984905292987804,1.0,1.0,-0.5
1,0,1.211490529298783,0.0,-4.0,0.0
2,0,1.210490529298783,1.0,4.0,0.25
3,0,1.4914905292987701,1.0,2.0,-0.25
4,0,1.106490529298783,0.0,-5.0,-0.25
5,0,3.4344905292985564,1.0,0.0,0.25
6,0,0.9904905292987828,0.0,-1.0,-1.0
7,0,1.0554905292987828,0.0,-5.0,0.25
8,0,2.4164905292986685,1.0,4.0,0.0
9,0,2.299490529298681,1.0,2.0,0.0
10,0,1.4184905292987782,1.0,5.0,-0.25
11,0,2.3914905292986712,1.0,4.0,0.0
12,0,1.0134905292987828,0.0,-5.0,-0.25
13,0,1.070490529298783,1.0,5.0,-0.5
14,0,1.0614905292987828,0.0,-1.0,0.5
15,0,0.7864905292987827,0.0,-3.0,-0.25
16,0,0.8774905292987827,1.0,3.0,0.0
17,0,2.0314905292987104,0.0,2.0,-0.25
18,0,1.324490529298783,1.0,2.0,-0.25
19,0,0.8774905292987827,0.0,-5.0,0.0
20,0,1.4784905292987716,1.0,4.0,-0.75
21,0,1.5624905292987623,1.0,4.0,-0.25
22,0,1.755490529298741,0.0,4.0,0.0
23,0,1.3584905292987832,1.0,1.0,0.25
24,0,1.0134905292987828,1.0,1.0,-0.5
25,0,1.2504905292987831,0.0,2.0,0.0
26,0,1.0924905292987828,0.0,-3.0,0.0
27,0,1.201490529298783,0.0,-1.0,-0.75
28,0,2.2854905292986825,1.0,3.0,0.25
29,0,2.076490529298706,0.0,-2.0,0.0
30,0,1.8084905292987352,1.0,0.0,0.0
31,0,1.375490529298783,0.0,-3.0,-0.25
32,0,1.6494905292987527,1.0,3.0,0.0
33,0,1.5334905292987655,1.0,3.0,-0.25
34,1,1.135998640298844,1.0,1.0,0.25
35,1,1.163998640298844,1.0,4.0,0.75
36,1,1.552998640298817,1.0,-2.0,1.0
37,1,1.5139986402988213,0.0,-2.0,0.25
38,1,1.1009986402988439,0.0,-2.0,0.25
39,1,1.6649986402988046,1.0,4.0,0.25
40,1,1.8089986402987888,1.0,5.0,0.25
41,1,1.2229986402988442,1.0,5.0,0.0
42,1,1.087998640298844,1.0,3.0,0.0
43,1,1.6179986402988098,1.0,0.0,0.0
44,1,1.047998640298844,0.0,-3.0,-0.75
45,1,0.8879986402988438,0.0,-2.0,0.25
46,1,1.029998640298844,0.0,0.0,-0.5
47,1,4.031998640298545,1.0,0.0,0.25
48,1,2.563998640298706,0.0,-2.0,0.0
49,1,2.409998640298723,0.0,1.0,-0.25
50,1,1.127998640298844,1.0,3.0,0.25
51,1,1.9689986402987711,0.0,-1.0,0.25
52,1,1.296998640298844,1.0,4.0,0.25
53,1,1.069998640298844,1.0,2.0,0.0
54,1,0.6899986402988436,1.0,4.0,0.25
55,1,1.4219986402988314,0.0,0.0,0.0
56,1,1.057998640298844,0.0,-4.0,0.0
57,1,1.0209986402988438,1.0,2.0,0.25
58,1,1.7079986402987999,1.0,-1.0,0.25
59,1,0.9149986402988438,1.0,0.0,0.75
60,1,1.235998640298844,0.0,1.0,0.5
61,1,0.9389986402988438,1.0,3.0,0.5
62,1,1.151998640298844,1.0,3.0,0.0
63,1,1.2799986402988441,0.0,-3.0,-0.25
64,2,2.5282878835199893,1.0,-1.0,0.25
65,2,5.598287883520238,0.0,0.0,-0.5
66,2,3.79228788351985,0.0,-1.0,0.5
67,2,1.5412878835200978,1.0,1.0,-0.75
68,2,2.7442878835199656,0.0,-1.0,0.25
69,2,2.912287883519947,0.0,-1.0,-0.5
70,2,1.7242878835200777,0.0,-3.0,-0.5
71,2,6.435287883520518,1.0,3.0,-0.5
72,2,1.684287883520082,0.0,0.0,-0.25
73,2,1.929287883520055,0.0,2.0,-0.75
74,2,2.7652878835199632,0.0,-5.0,-0.75
75,2,2.2542878835200195,0.0,-4.0,-0.5
76,2,6.125287883520414,1.0,1.0,0.25
77,2,3.365287883519897,0.0,0.0,-0.75
78,2,4.993287883520036,0.0,-5.0,0.0
79,2,9.997287883520178,0.0,-1.0,0.25
80,2,5.014287883520043,0.0,0.0,-0.75
81,2,10.165287883520085,0.0,-2.0,-0.5
82,2,2.006287883520047,0.0,1.0,0.0
83,2,3.503287883519882,1.0,1.0,0.25
84,2,2.294287883520015,1.0,2.0,0.0
85,2,4.180287883519807,0.0,-3.0,0.0
86,2,3.2072878835199146,1.0,1.0,0.25
87,2,1.294287883520125,1.0,4.0,0.0
88,2,7.607287883520909,0.0,0.0,0.5
89,2,8.27228788352113,0.0,0.0,-0.25
90,2,3.658287883519865,1.0,-2.0,0.5
91,2,2.3022878835200142,0.0,-2.0,0.5
92,2,6.909287883520676,0.0,-1.0,-0.25
93,2,1.076287883520127,0.0,-2.0,0.0
94,2,3.6272878835198683,1.0,1.0,0.25
95,2,9.034287883520712,0.0,-1.0,-0.25
96,2,8.383287883521072,1.0,0.0,0.5
97,2,2.6442878835199766,1.0,-4.0,-0.25
98,2,3.422287883519891,1.0,2.0,0.0
99,2,2.6892878835199716,0.0,-3.0,0.5
100,2,3.121287883519924,1.0,-1.0,0.0
101,2,1.958287883520052,0.0,-1.0,0.25
102,3,1.204447134971619,0.0,-2.0,0.5
103,3,1.5414471349716192,0.0,-2.0,0.0
104,3,1.9044471349716046,1.0,-3.0,1.0
105,3,1.301447134971619,1.0,3.0,1.0
106,3,2.7784471349715085,0.0,0.0,-0.75
107,3,1.6744471349716195,1.0,1.0,-0.25
108,3,4.561447134971312,1.0,2.0,1.0
109,3,1.253447134971619,1.0,-1.0,0.5
110,3,2.5754471349715304,0.0,2.0,1.0
111,3,1.440447134971619,0.0,-2.0,-1.0
112,3,2.502447134971539,1.0,4.0,1.0
113,3,1.1094471349716188,1.0,-3.0,1.0
114,3,2.4454471349715448,0.0,1.0,0.0
115,3,1.528447134971619,1.0,0.0,0.5
116,3,1.1194471349716189,0.0,1.0,-0.75
117,3,1.9214471349716027,1.0,2.0,1.0
118,3,1.6204471349716192,1.0,-1.0,1.0
119,3,1.228447134971619,1.0,1.0,1.0
120,3,1.389447134971619,0.0,-3.0,0.75
121,3,1.8534471349716102,0.0,-1.0,1.0
122,3,1.9234471349716025,1.0,2.0,1.0
123,3,1.136447134971619,1.0,4.0,1.0
124,3,1.4674471349716192,0.0,-4.0,1.0
125,3,1.4474471349716191,0.0,4.0,0.75
126,3,2.49444713497154,0.0,-5.0,0.5
127,3,1.293447134971619,0.0,-4.0,-1.0
128,3,2.4374471349715456,1.0,4.0,1.0
129,3,1.359447134971619,0.0,-2.0,-1.0
130,3,1.488447134971619,0.0,0.0,1.0
131,3,1.7744471349716189,0.0,2.0,-0.25
132,3,1.7284471349716193,1.0,-2.0,1.0
133,3,2.381447134971552,1.0,-3.0,1.0
134,3,3.027447134971481,1.0,2.0,0.75
135,3,1.6244471349716192,1.0,-2.0,0.5
136,3,1.864447134971609,1.0,1.0,1.0
137,4,1.5084022705554927,1.0,4.0,-0.5
