Complexity,Loss,Equation
1,1.5204524,"x2"
3,1.1791021,"x2 - x3"
5,0.34563696,"(x0 - x1) * 0.4282652"
7,0.28418338,"((x0 - x1) + x2) * 0.42209792"
9,0.11396371,"(((x0 - x1) / 2.537719) - x3) + x2"
11,0.082137465,"(((x0 - x1) / 2.6504025) + 1.6526675) - (x3 / 0.32546517)"
12,0.07800272,"((0.38309884 * ((x0 - x1) + -2.7837157)) - x3) + exp(x2)"
14,0.076453984,"((((0.35000277 * (x0 - x1)) - 1.0688555) + exp(x2)) - x3) * 1.0836492"
15,0.07614433,"((((x0 - x1) + 2.0142133) / 2.6172872) - ((x2 + 1.8716604) * x3)) + x2"
17,0.07394286,"(((((x0 * (1.4967679 - x3)) - x1) * 0.38926536) + (x2 / 0.88694113)) - 0.11878768) + -0.35421377"
19,0.06620578,"(((((x3 - x2) * (-0.3280155 * x0)) + ((x0 - -0.16794303) - x1)) / 2.6172872) - x3) + x2"
