,sbj,rt,ch,goal,value_diff,gaze_diff
0,0,2.483659630775377,0.0,-1,20.0,-0.25
1,0,1.5016596307754522,1.0,1,20.0,-0.25
2,0,6.718659630775762,0.0,-1,5.0,0.0
3,0,3.2386596307752944,1.0,-1,-5.0,0.0
4,0,1.6206596307754522,0.0,1,-5.0,0.0
5,0,2.72965963077535,0.0,-1,-5.0,-0.25
6,0,9.903659630775847,0.0,1,-5.0,-0.25
7,0,2.63965963077536,0.0,-1,10.0,-0.5
8,0,2.995659630775321,1.0,1,10.0,0.0
9,0,1.8106596307754514,0.0,-1,0.0,-0.25
10,0,2.262659630775402,1.0,1,0.0,0.0
11,0,2.042659630775426,1.0,1,0.0,-0.25
12,0,2.170659630775412,1.0,-1,-20.0,-0.25
13,0,2.424659630775384,0.0,1,-20.0,0.0
14,0,2.9376596307753275,1.0,-1,0.0,0.25
15,0,3.0996596307753097,1.0,1,0.0,0.0
16,0,1.4896596307754522,1.0,-1,-10.0,0.25
17,0,3.3926596307752774,0.0,1,-10.0,0.0
18,0,1.464659630775452,0.0,-1,5.0,-0.25
19,0,1.8946596307754422,1.0,1,5.0,-0.25
20,0,3.4116596307752753,0.0,-1,5.0,-0.25
21,0,1.9386596307754373,0.0,-1,5.0,-0.25
22,0,1.9566596307754354,1.0,1,5.0,-0.25
23,0,5.487659630775351,0.0,-1,-5.0,-0.25
24,0,2.101659630775419,0.0,1,-5.0,-0.5
25,0,3.54965963077526,0.0,-1,15.0,0.0
26,0,2.1366596307754158,1.0,1,15.0,0.0
27,0,2.5746596307753675,1.0,-1,-10.0,0.0
28,0,3.46065963077527,1.0,1,-10.0,-0.5
29,0,3.1656596307753024,0.0,-1,15.0,-0.25
30,0,3.8476596307752273,1.0,1,15.0,0.25
31,0,2.3896596307753875,0.0,-1,-5.0,-0.5
32,0,3.778659630775235,0.0,1,-5.0,0.0
33,0,2.00865963077543,0.0,-1,10.0,-0.5
34,0,1.9706596307754338,1.0,1,10.0,0.0
35,0,3.1296596307753064,0.0,-1,-5.0,-0.25
36,0,3.1106596307753085,0.0,1,-5.0,-0.25
37,0,2.4846596307753774,0.0,-1,-10.0,-0.25
38,0,1.8096596307754516,0.0,1,-10.0,0.0
39,0,2.0436596307754256,0.0,-1,5.0,-0.5
40,0,4.831659630775132,1.0,1,5.0,-0.25
41,0,1.6756596307754523,0.0,-1,5.0,-0.25
42,0,1.6536596307754523,1.0,1,5.0,0.25
43,0,2.2826596307753997,0.0,-1,10.0,-0.25
44,0,3.049659630775315,1.0,1,10.0,0.0
45,0,2.685659630775355,0.0,-1,5.0,0.0
46,0,3.977659630775213,1.0,1,5.0,0.0
47,0,1.7326596307754523,0.0,-1,5.0,-0.25
