,sbj,rt,ch,goal,value_diff,gaze_diff
0,0,1.416308041095734,0.0,1,-10.0,-0.5
1,0,2.0253080410957134,0.0,-1,10.0,-0.5
2,0,1.478308041095734,0.0,1,5.0,0.0
3,0,1.918308041095725,1.0,1,5.0,-0.25
4,0,1.8073080410957343,0.0,1,-15.0,-0.5
5,0,1.954308041095721,0.0,1,-5.0,0.0
6,0,1.353308041095734,0.0,-1,15.0,-0.25
7,0,1.376308041095734,1.0,1,20.0,-0.25
8,0,3.317308041095571,0.0,-1,20.0,0.25
9,0,4.225308041095471,0.0,-1,0.0,-0.25
10,0,2.398308041095672,0.0,-1,0.0,-0.25
11,0,2.5363080410956567,0.0,1,0.0,0.0
12,0,2.9153080410956154,0.0,1,5.0,-0.25
13,0,2.6893080410956403,0.0,1,-5.0,-0.25
14,0,1.479308041095734,0.0,-1,20.0,-0.5
15,0,1.6483080410957343,1.0,-1,-10.0,-0.25
16,0,5.56830804109565,1.0,1,-5.0,0.0
17,0,2.224308041095691,0.0,-1,-10.0,-0.25
18,0,3.2213080410955817,1.0,-1,-10.0,-0.25
19,0,1.6083080410957342,0.0,-1,0.0,0.25
20,0,2.9483080410956117,1.0,1,10.0,-0.5
21,0,1.460308041095734,0.0,1,-5.0,-0.25
22,0,1.458308041095734,0.0,-1,10.0,0.0
23,0,1.6223080410957342,0.0,1,-10.0,-0.25
24,0,2.5543080410956547,1.0,-1,-10.0,0.0
25,0,6.489308041095957,0.0,-1,0.0,-0.5
26,0,3.2053080410955834,1.0,1,-5.0,-0.5
27,0,1.2303080410957339,0.0,-1,10.0,-0.25
28,0,2.2003080410956937,1.0,1,-5.0,0.0
29,0,1.5463080410957342,0.0,1,-10.0,-0.25
30,0,1.5363080410957342,0.0,-1,15.0,-0.25
31,0,1.5973080410957343,1.0,1,10.0,0.0
32,0,1.8613080410957312,0.0,1,-15.0,0.0
33,0,1.9383080410957227,1.0,1,15.0,0.0
34,0,2.955308041095611,0.0,1,-10.0,0.0
35,0,2.2743080410956855,1.0,1,-20.0,0.0
36,0,4.686308041095421,1.0,1,0.0,0.25
37,0,1.9433080410957222,0.0,1,5.0,0.0
38,0,4.723308041095416,1.0,1,5.0,0.0
39,0,3.491308041095552,0.0,1,-10.0,-0.5
40,0,5.046308041095475,0.0,-1,-10.0,-0.25
41,0,1.6633080410957342,1.0,-1,-15.0,-0.5
42,0,2.114308041095703,1.0,-1,5.0,-0.25
43,0,8.286308041096557,0.0,-1,-5.0,0.0
44,0,4.543308041095436,1.0,1,10.0,-0.5
