,sbj,rt,ch,goal,value_diff,gaze_diff
0,0,4.075161281585379,1.0,-1,2.0,-0.5
1,0,3.3141612815854624,0.0,1,0.0,-0.25
2,0,2.801161281585519,1.0,-1,-1.0,0.25
3,0,4.180161281585367,0.0,1,-1.0,-0.5
4,0,2.8421612815855144,0.0,-1,-1.0,0.5
5,0,2.4061612815855624,1.0,1,2.0,0.0
6,0,1.97216128158561,0.0,1,0.0,0.0
7,0,3.371161281585456,0.0,-1,0.0,-0.25
8,0,3.510161281585441,0.0,1,1.0,0.0
9,0,2.142161281585591,0.0,-1,1.0,-0.5
10,0,5.518161281585801,1.0,1,0.0,0.25
11,0,2.047161281585602,1.0,-1,-1.0,0.5
12,0,2.664161281585534,0.0,1,-2.0,0.0
13,0,1.8481612815856236,1.0,-1,-1.0,0.25
14,0,1.3401612815856796,0.0,1,-1.0,-0.5
15,0,2.180161281585587,1.0,-1,0.0,0.25
16,0,7.684161281586524,0.0,1,-1.0,0.0
17,0,2.4781612815855545,1.0,-1,-2.0,0.75
18,0,6.206161281586031,1.0,1,2.0,-0.25
19,0,6.934161281586274,1.0,-1,0.0,-0.25
20,0,2.201161281585585,0.0,1,-1.0,0.0
21,0,3.854161281585403,0.0,-1,1.0,-0.25
22,0,2.1051612815855956,0.0,1,2.0,-0.25
23,0,6.075161281585987,1.0,-1,-1.0,0.0
24,0,1.118161281585694,0.0,1,0.0,-0.25
25,0,2.9731612815855,0.0,1,-2.0,-0.5
26,0,4.177161281585367,0.0,-1,1.0,-0.25
27,0,3.9151612815853962,0.0,1,-1.0,-0.25
28,0,3.564161281585435,1.0,-1,-1.0,0.0
29,0,1.8601612815856223,1.0,1,1.0,0.25
30,0,3.5051612815854414,0.0,-1,0.0,0.25
31,0,2.0181612815856047,0.0,1,0.0,-0.25
32,0,3.363161281585457,1.0,-1,-1.0,0.25
33,0,2.3531612815855683,1.0,1,1.0,0.25
34,0,2.068161281585599,1.0,-1,-1.0,0.25
35,0,3.1401612815854816,0.0,1,-1.0,-0.25
36,0,1.9931612815856077,1.0,-1,-1.0,0.5
37,0,1.8321612815856254,0.0,1,0.0,-0.5
38,0,1.990161281585608,0.0,-1,1.0,-0.25
39,0,2.0581612815856003,1.0,1,0.0,0.0
40,0,3.407161281585452,0.0,-1,0.0,0.0
41,0,3.0881612815854873,0.0,1,0.0,-0.25
42,0,3.8591612815854024,1.0,-1,0.0,-0.25
43,0,3.373161281585456,0.0,1,0.0,0.25
44,0,3.836161281585405,1.0,-1,-1.0,0.5
45,0,3.2301612815854717,1.0,1,-1.0,0.0
46,0,3.534161281585438,0.0,-1,1.0,0.0
47,0,2.6621612815855342,1.0,1,1.0,0.25
48,0,7.589161281586493,0.0,-1,1.0,-0.25
49,0,4.362161281585415,0.0,1,0.0,0.0
50,0,1.6791612815856423,1.0,-1,-2.0,0.25
51,0,3.6211612815854286,1.0,1,1.0,0.0
52,0,3.718161281585418,1.0,-1,-1.0,0.5
53,0,1.9771612815856094,1.0,1,-1.0,0.25
54,0,4.55716128158548,1.0,-1,0.0,0.0
55,0,2.744161281585525,1.0,1,1.0,0.25
56,0,7.140161281586343,0.0,-1,2.0,0.0
57,0,2.902161281585508,1.0,1,1.0,0.5
58,0,3.0021612815854968,0.0,-1,2.0,-0.5
59,0,2.2981612815855743,1.0,1,1.0,0.25
60,0,1.5581612815856556,0.0,1,-1.0,-0.25
61,0,3.962161281585391,0.0,-1,1.0,-0.25
62,0,2.3041612815855737,1.0,1,2.0,0.0
63,0,4.034161281585384,1.0,-1,0.0,0.25
64,0,2.083161281585598,1.0,1,1.0,-0.25
65,0,3.562161281585435,1.0,-1,2.0,0.25
66,0,2.836161281585515,0.0,1,1.0,-0.25
67,0,1.399161281585673,1.0,-1,1.0,0.25
