,sbj,rt,ch,value_diff,gaze_diff,right
0,0,0.9084448773860935,1.0,-2.0,-0.75,0
1,0,1.9934448773860292,1.0,-4.0,-0.5,0
2,0,0.8124448773860935,0.0,0.0,0.0,0
3,0,1.1164448773860935,0.0,0.0,-0.25,0
4,0,1.401444877386094,0.0,0.0,-0.75,0
5,0,1.450444877386089,2.0,0.0,0.0,1
6,0,1.1064448773860938,2.0,6.0,-0.25,1
7,0,1.0804448773860935,2.0,6.0,0.0,1
8,0,0.8214448773860934,2.0,6.0,0.25,1
9,0,1.5744448773860753,1.0,2.0,-0.75,0
10,0,1.378444877386094,1.0,4.0,-0.5,0
11,0,1.1114448773860937,1.0,-4.0,-0.25,0
12,0,1.6284448773860694,1.0,-2.0,-0.5,0
13,0,4.196444877385787,0.0,-2.0,0.0,0
14,0,1.3634448773860939,2.0,4.0,0.0,1
15,0,1.540444877386079,2.0,4.0,-0.5,1
16,0,1.3244448773860937,2.0,4.0,0.0,1
17,0,0.8734448773860934,0.0,0.0,-0.75,0
18,0,1.3484448773860938,1.0,-4.0,0.0,0
19,0,1.2154448773860937,2.0,2.0,-0.5,1
20,0,1.3354448773860939,0.0,-4.0,-1.0,0
21,0,1.0414448773860936,1.0,-2.0,-0.5,0
22,0,1.668444877386065,0.0,0.0,0.0,0
23,0,1.1604448773860936,1.0,2.0,-0.75,0
24,0,0.9454448773860935,2.0,2.0,0.5,1
25,0,0.5464448773860933,2.0,6.0,-0.25,1
26,0,0.7424448773860934,0.0,-2.0,-0.5,0
27,0,1.6714448773860646,1.0,4.0,-0.5,0
28,0,1.8064448773860498,1.0,-2.0,-0.25,0
29,0,1.605444877386072,1.0,-4.0,0.0,0
30,0,1.0894448773860936,0.0,0.0,-0.75,0
31,0,1.0554448773860936,1.0,-4.0,-0.25,0
32,0,0.9864448773860935,1.0,-2.0,-0.75,0
33,0,0.9324448773860935,1.0,-2.0,-0.75,0
34,0,0.8564448773860935,1.0,-4.0,-0.25,0
35,0,1.5514448773860778,2.0,0.0,-0.5,1
36,0,1.458444877386088,2.0,-2.0,-1.0,1
37,0,1.5484448773860782,1.0,-2.0,-0.75,0
38,0,1.2134448773860937,0.0,-2.0,-0.25,0
39,0,1.6434448773860677,0.0,2.0,-0.5,0
40,0,1.2384448773860939,1.0,-2.0,-0.25,0
41,0,1.0294448773860936,2.0,6.0,0.25,1
42,0,1.8054448773860499,1.0,-2.0,-0.25,0
43,0,2.1594448773860107,0.0,2.0,-0.25,0
44,0,1.1114448773860937,1.0,0.0,0.25,0
45,0,0.8874448773860935,2.0,6.0,0.0,1
46,0,2.1614448773860104,1.0,4.0,-0.75,0
47,0,1.5244448773860808,2.0,0.0,0.0,1
48,0,1.776444877386053,0.0,0.0,-0.75,0
49,0,0.8964448773860936,1.0,-4.0,-0.5,0
50,0,1.0604448773860935,0.0,-4.0,-0.75,0
51,0,1.0434448773860936,2.0,2.0,-0.5,1
52,0,1.2654448773860938,1.0,0.0,-0.5,0
53,0,1.5354448773860796,2.0,0.0,-0.25,1
54,0,1.2754448773860938,2.0,0.0,0.0,1
55,0,0.9864448773860935,2.0,4.0,0.25,1
56,0,1.3684448773860938,2.0,2.0,-0.25,1
57,0,0.7674448773860933,0.0,-4.0,-0.75,0
58,0,0.7894448773860934,2.0,4.0,1.0,1
59,0,1.3324448773860937,1.0,0.0,-0.75,0
60,0,1.278444877386094,2.0,0.0,0.25,1
61,0,1.2204448773860936,0.0,0.0,-0.25,0
62,0,1.2694448773860938,2.0,2.0,-0.25,1
63,0,1.1264448773860938,2.0,0.0,0.0,1
64,0,1.2854448773860938,0.0,-4.0,-0.5,0
65,0,1.0804448773860935,0.0,-2.0,-0.75,0
66,0,2.4654448773859774,1.0,2.0,-0.25,0
67,0,1.5654448773860763,2.0,2.0,0.0,1
68,0,1.1344448773860938,2.0,4.0,0.25,1
69,0,1.4344448773860907,1.0,0.0,-0.75,0
70,0,1.6524448773860667,2.0,0.0,0.0,1
71,0,1.1124448773860935,1.0,0.0,-0.5,0
72,0,1.2394448773860938,1.0,-4.0,0.0,0
73,0,1.7254448773860587,1.0,-2.0,-0.25,0
74,0,1.0684448773860935,0.0,0.0,-0.75,0
75,0,1.1064448773860938,2.0,0.0,0.0,1
76,0,1.1914448773860937,0.0,0.0,-0.75,0
77,0,0.8664448773860935,2.0,4.0,0.5,1
78,0,1.2144448773860939,2.0,2.0,0.25,1
79,0,1.1074448773860937,1.0,-2.0,-0.5,0
80,0,1.0384448773860937,2.0,4.0,0.5,1
81,0,0.7314448773860933,0.0,0.0,-0.5,0
82,0,1.4004448773860938,2.0,2.0,-0.5,1
83,0,1.1354448773860937,0.0,0.0,-0.75,0
84,0,1.1154448773860937,1.0,-4.0,0.0,0
85,0,2.1544448773860116,0.0,-4.0,0.0,0
86,0,1.282444877386094,2.0,0.0,-0.5,1
