,sbj,rt,ch,value_diff,gaze_diff,right
0,0,2.0370430531501125,2.0,2.0,-0.25,1
1,0,1.2450430531501775,2.0,0.0,0.0,1
2,0,0.8510430531501774,0.0,0.0,-0.75,0
3,0,1.3130430531501776,1.0,-4.0,0.0,0
4,0,1.0170430531501773,2.0,-2.0,-0.25,1
5,0,2.3120430531500817,2.0,0.0,0.0,1
6,0,1.4360430531501778,0.0,-2.0,-0.75,0
7,0,0.9760430531501774,0.0,0.0,-0.75,0
8,0,2.038043053150112,2.0,-2.0,-0.25,1
9,0,1.3160430531501777,2.0,6.0,-0.25,1
10,0,1.1250430531501774,2.0,2.0,-0.5,1
11,0,0.7990430531501773,2.0,4.0,0.5,1
12,0,1.0440430531501774,2.0,4.0,-0.5,1
13,0,1.4620430531501756,2.0,4.0,-0.75,1
14,0,1.1120430531501775,2.0,4.0,1.0,1
15,0,1.3540430531501777,2.0,4.0,0.0,1
16,0,1.5800430531501626,1.0,-4.0,-0.5,0
17,0,0.8830430531501774,0.0,-4.0,-0.5,0
18,0,1.7080430531501485,2.0,0.0,-0.25,1
19,0,1.1500430531501775,0.0,0.0,-0.5,0
20,0,0.9930430531501774,1.0,0.0,-0.5,0
21,0,1.5720430531501635,2.0,-2.0,-0.75,1
22,0,1.7610430531501426,1.0,0.0,-0.5,0
23,0,0.9480430531501773,0.0,-2.0,-0.5,0
24,0,1.3880430531501777,2.0,0.0,0.0,1
25,0,0.9600430531501774,1.0,2.0,-0.5,0
26,0,1.2920430531501776,2.0,4.0,-0.5,1
27,0,1.5090430531501704,1.0,0.0,-0.75,0
28,0,0.9210430531501774,0.0,0.0,-0.25,0
29,0,1.0590430531501775,0.0,-2.0,-0.75,0
30,0,1.3550430531501778,2.0,0.0,0.0,1
31,0,0.9430430531501773,1.0,0.0,-0.75,0
32,0,1.0870430531501776,2.0,4.0,-0.5,1
33,0,0.8390430531501774,2.0,2.0,0.75,1
34,0,0.7340430531501771,0.0,0.0,-0.75,0
35,0,1.1680430531501775,0.0,-2.0,0.0,0
36,0,1.5570430531501651,2.0,2.0,-0.25,1
37,0,1.4230430531501779,2.0,6.0,0.0,1
38,0,1.3800430531501777,1.0,-2.0,-0.25,0
39,0,0.7030430531501772,0.0,-4.0,-0.75,0
40,1,3.4968120113608685,1.0,-2.0,0.0,0
41,1,1.7968120113610555,0.0,-6.0,-0.5,0
42,1,2.75481201136095,2.0,2.0,-0.25,1
43,1,3.2078120113609003,0.0,-2.0,-0.5,0
44,1,1.4488120113610938,2.0,6.0,0.25,1
45,1,2.11981201136102,0.0,-4.0,-0.75,0
46,1,2.1878120113610127,2.0,-4.0,-0.25,1
47,1,1.5698120113610805,2.0,4.0,0.0,1
48,1,2.7408120113609518,1.0,0.0,-0.25,0
49,1,1.3768120113611018,1.0,0.0,-0.25,0
50,1,2.3168120113609985,1.0,-2.0,-0.5,0
51,1,1.3518120113611045,1.0,-2.0,-0.5,0
52,1,1.5038120113610878,1.0,2.0,0.25,0
53,1,0.9658120113611227,0.0,-4.0,-0.5,0
